Text,Entities
"We have a new name, but a legacy of serving the aerospace industry for over 50 years. Mires Machining, a CNC machine shop founded in 1966 is now DL Dynamic.","[('over 50 years', 'QUANTITY'), ('Mires Machining', 'ORGANIZATION'), ('1966', 'DATE'), ('DL Dynamic', 'ORGANIZATION')]"
"Coevolve is a leading global provider of Integrated SD-WAN and Cloud Networking solutions, with clients in over 75 countries on 6 continents.","[('Coevolve', 'ORGANIZATION'), ('SD-WAN', 'OTHER'), ('Networking', 'OTHER'), ('over 75 countries', 'QUANTITY'), ('6 continents', 'QUANTITY')]"
Exeter Homes Visalia Real Estate Tulare County Investment Property Darcy Staberg | DS Realty Inc investors commercial lots land ranches single family homes,"[('Exeter Homes', 'ORGANIZATION'), ('Visalia Real Estate', 'ORGANIZATION'), ('Tulare', 'LOCATION'), ('Darcy Staberg', 'PERSON'), ('DS Realty Inc', 'ORGANIZATION')]"
Shop powered by PrestaShop,"[('PrestaShop', 'TITLE')]"
Color hex encyclopedia providing information about any color.,[]
"We stop process and document fraud. Our secure technologies are at the forefront of security innovations, providing multiple layers of security, process efficiency and flexibility.",[]
"Lumivo is a leading global digital research agency specializing in online 
and mobile competitive benchmarking. We help our clients to measure and 
improve their online user experience (UX) and digital effectiveness. The 
Lumivo team have helped over 100 leading brands, including eBay, Sony, 
IKEA, Hertz, Mastercard, Barclaycard and Vodafone.","[('Lumivo', 'ORGANIZATION'), ('Lumivo', 'ORGANIZATION'), ('over 100 leading brands', 'QUANTITY'), ('eBay', 'ORGANIZATION'), ('Sony', 'ORGANIZATION'), ('IKEA', 'ORGANIZATION'), ('Hertz', 'ORGANIZATION'), ('Mastercard', 'ORGANIZATION'), ('Barclaycard', 'ORGANIZATION'), ('Vodafone', 'ORGANIZATION')]"
"MUN is highly-effective, natural, anti-aging and brightening skin care based on pristine healing botanicals, produced and sourced with integrity. Try MUN products like Akanri Serum, Anarose Toner, and Akwi Cleanser with 10% off your first order. Free shipping $75+.","[('MUN', 'ORGANIZATION'), ('MUN', 'ORGANIZATION'), ('Akanri', 'ORGANIZATION'), ('Serum', 'COMMERCIAL_ITEM'), ('Anarose Toner', 'COMMERCIAL_ITEM'), ('Akwi Cleanser', 'COMMERCIAL_ITEM'), ('10%', 'QUANTITY'), ('first order', 'QUANTITY'), ('$75+', 'QUANTITY')]"
The best agency in the world.,[]
"IT Convergence is a top Oracle cloud managed services provider with offerings across migration, hosting, integration, IaaS, PaaS, SaaS, Analytics, Training, Testing and Change Management","[('Convergence', 'ORGANIZATION'), ('Oracle', 'ORGANIZATION')]"
"GEM Advanced Magnetometers is a renowned supplier of magnetometers, gradiometers and magnetic sensors for earth science, geophysics and other applications.","[('GEM Advanced', 'ORGANIZATION'), ('Magnetometers', 'COMMERCIAL_ITEM')]"
"Rydalmere’s favourite with great food restaurant & bar offering steaks, pub 
classics, pastas & pizzas & much more. Make a reservation now!","[('Rydalmere', 'LOCATION')]"
"AEI Lighting is a manufacturer & solutions provider of LED, Induction, T5 / T5HO, T8 & Skylight lighting for industrial, commercial & retail applications","[('AEI Lighting', 'ORGANIZATION')]"
"Sutera Energy Solutions is a Sub-Surface Consulting & Capability Development Service Provider, specializing in Well Completions, Production Enhancement, and Unconventional Shale.","[('Sutera Energy Solutions', 'ORGANIZATION')]"
Factory for Sale Malaysia | Warehouse for sale Malaysia| Industrial land for Sale Malaysia,"[('Malaysia', 'LOCATION'), ('Malaysia', 'LOCATION'), ('Malaysia', 'LOCATION')]"
"We pride ourselves in designing and offering products and services that meet the needs of organizations in the inter-related fields of knowledge management, development communications, monitoring and evaluation, and research and learning.",[]
"Watch Netflix films & TV programmes online or stream right to your smart TV, game console, PC, Mac, mobile, tablet and more.","[('Netflix', 'ORGANIZATION'), ('Mac', 'COMMERCIAL_ITEM')]"
"CJX is a professional information technology and information security incident response company founded by experienced network security, architecture and investigations practitioners. The partners’ experience includes years of successful investigations and recovery after cyber incidents. We specialize in response to malware; advanced, persistent threats (APT); botnets; and remote-access Trojan attacks. We investigate attacks on-premise, in-the-cloud, and…","[('CJX', 'ORGANIZATION')]"
"coinmaster free spins,,coinmaster free rewards,static moon games,free spins and coins,free cards,coinmaster free spins and cards,coinmaster free cards","[('coinmaster', 'TITLE'), ('coinmaster', 'TITLE'), ('coinmaster', 'COMMERCIAL_ITEM'), ('coinmaster', 'COMMERCIAL_ITEM')]"
"T&N by Sagar. Comfortable Designer Ballet Flats. Made of the finest 
leathers that lend to luxurious comfort & fitted with a unique footprint 
sole, these ballet flats are truly one of a kind. Where have you left your 
footprint today?","[('T&N', 'ORGANIZATION'), ('Sagar', 'ORGANIZATION'), ('one', 'QUANTITY'), ('today', 'DATE')]"
"Profound Strength: combining strength & conditioning to make every athlete, better.","[('every athlete', 'QUANTITY')]"
Just another WordPress site,"[('WordPress', 'TITLE')]"
All sports news around the world,"[('All', 'QUANTITY')]"
"SkyScope is Transport Canada certified aerial photographers based in 
Victoria BC. Turnkey drone services for a unique and informative look at 
your business.","[('SkyScope', 'ORGANIZATION'), ('Transport Canada', 'ORGANIZATION'), ('Victoria BC', 'LOCATION')]"
"View Hon Kee Restaurant BBQ Menu, June, 2021 coupons, HonKee argyle online order, Order Delivery from honkee argyle menu, hon kee bbq, hon kee restaurant menu, best BBQ restaurant in Argyle Chicago, IL, best peking duck chicago, best bbq in chicago, best roasted pig, Chicago Chinese food, Chicago Chinese cuisine, uptown Chicago Chinese bbq, Chicago Chinese bbq, best wonton noodle soup Chicago","[('Hon Kee Restaurant', 'ORGANIZATION'), ('June, 2021', 'DATE'), ('HonKee argyle', 'ORGANIZATION'), ('honkee argyle', 'ORGANIZATION'), ('hon kee bbq', 'ORGANIZATION'), ('hon kee restaurant', 'ORGANIZATION'), ('Argyle Chicago, IL', 'LOCATION'), ('chicago', 'LOCATION'), ('chicago', 'LOCATION'), ('Chicago', 'OTHER'), ('Chinese', 'OTHER'), ('Chicago', 'OTHER'), ('Chinese', 'OTHER'), ('Chicago', 'LOCATION'), ('Chinese', 'OTHER'), ('Chicago', 'OTHER'), ('Chinese', 'OTHER'), ('Chicago', 'LOCATION')]"
"Fashion Touch is an online women's fashion store. We have good prices on the items you are looking for. You can buy shoes, dresses, skirts, sunglasses and handbags bodysuits, blouses, belts, necklaces with the moment trends. Remember... Always in fashion with Fashion Touch.","[('Fashion Touch', 'ORGANIZATION'), ('Fashion Touch', 'ORGANIZATION')]"
Please enter your slogan here!,[]
"All our watches go through a high-quality evaluation and certification process by our certified watchmakers, which includes:Quality inspectionAuthenticity","[('All our watches', 'QUANTITY')]"
"Carpet shop in Singapore for exhibition carpet, office carpet, carpet tile, Artificial grass carpet, vinyl floor, sisal carpet, flame retardant fabric | Curtex Pte Ltd","[('Singapore', 'LOCATION'), ('Curtex Pte Ltd', 'ORGANIZATION')]"
"Specification Lighting Sales, also known as SLS, brings premier lighting manufacturers to the New York design community.","[('Sales', 'TITLE'), ('SLS', 'TITLE'), ('New York', 'LOCATION')]"
"Atos is a global leader in digital transformation with 110,000 employees and annual revenue of € 12 billion.","[('Atos', 'ORGANIZATION'), ('110,000 employees', 'QUANTITY'), ('annual', 'QUANTITY'), ('€ 12 billion', 'QUANTITY')]"
Orchid and Fern Nursery,[]
"Aggregate Resources.  Southwest Michigan's Choice for Sand, Stone and Portable Crushing.  Call 269-345-5289 to learn why.","[('Southwest Michigan', 'LOCATION'), ('269-345-5289', 'OTHER')]"
"Design, construction, and installation of high-quality shade solutions.",[]
"Discover handcrafted leather bags, wallets & accessories. Shop online luxury fashion in sustainable leather.",[]
Achieve financial freedom and enjoy superb lifestyle with Alliance In Motion Global Business that is Turning Ordinary People Into Extraordinary Millionaires,"[('Alliance In Motion Global Business', 'ORGANIZATION')]"
"When you choose EWASH, the only commitment is our pledge to provide you with superior service and personalised care. No contracts, just quality linens and ...","[('EWASH', 'COMMERCIAL_ITEM')]"
"Oswego, Illinois-based HQC Incorporated is a full-service close-tolerance precision injection-molding company that specializes in high-quality custom-injection and insert-molded products for medical and packaging companies","[('Oswego, Illinois', 'LOCATION'), ('HQC Incorporated', 'ORGANIZATION')]"
"It's like Diablo had a lovechild with Dark Souls, a MUD and D&D. Nice little browser rpg game. We even have an android app!","[('Diablo', 'PERSON'), ('Dark Souls', 'TITLE'), ('D&D.', 'TITLE'), ('android', 'TITLE')]"
" 
TeamWave is the best small business CRM, project management & HRMS software. A better way to manage your projects, team and sales.
","[('TeamWave', 'ORGANIZATION')]"
"We automate your lead generation system with targeted direct messages.
No paid ads needed. No more cold calls.",[]
"AM Engineering is a multi-disciplined design and engineering company with an established track record, providing proven engineering solutions and support to companies within the Oil and Gas, Iron and Steel, Petrochemical and Energy Industries across the UK & overseas.","[('AM Engineering', 'ORGANIZATION'), ('UK', 'LOCATION')]"
Quantum Homes is a family-run business that specialises in building quality homes on acreages in the picturesque Gisborne and Macedon districts of Victoria.,"[('Quantum Homes', 'ORGANIZATION'), ('Gisborne', 'LOCATION'), ('Macedon', 'LOCATION'), ('Victoria', 'LOCATION')]"
"Hire a wide range of mobile variable messaging signs (VMS), solar powered monitoring and visual information systems from MVIS Ltd. Call 01629 580 570.","[('MVIS Ltd.', 'ORGANIZATION'), ('01629 580 570', 'OTHER')]"
"A worldwide provider of premier IT infrastructure solutions. We design and manufacture award-winning products for Pro AV, KVM, cabling, and networking",[]
The owner of this domain has not yet uploaded their website.,[]
"Sundance is passionate about delivering digital marketing solutions and creating digital content to meet today’s needs. Our services have grown from video post-production and 3D walkthrough to include innovative content that is both immersive and interactive. This includes 360 VR presentations with Live Chat, photo-realistic 3D VR animation, interactive projection mapping with motion-sensing technology, and real-time interactive AR presentations. Our extensive list of services will include advanced content using Motion-Capture technology for face, body and fingers; giving life to very realistic real-time, virtual characters, set against any virtual environment imaginable.","[('Sundance', 'ORGANIZATION'), ('today', 'DATE'), ('both', 'QUANTITY'), ('360', 'QUANTITY')]"
"vesta marine is the leading yachting and technical service in the region. our mission is to provide our clients with the most effective service by combining the right approach, excellent workmanship and quality materials. our professional yacht repair and refit facilities are located on site with the 70,000m2 of hardstand space with a capacity of up to 400t travel lift. ","[('vesta marine', 'ORGANIZATION'), ('70,000m2', 'QUANTITY'), ('up to 400t', 'QUANTITY')]"
"An online events platform featuring free, paid, and fundraising events. Share your expertise with the world, or enjoy new experiences from the comfort of wherever you are",[]
Platinum PR is based in Melbourne and is a vibrant lifestyle agency with a reputation for developing ground-breaking campaigns.,"[('Platinum PR', 'ORGANIZATION'), ('Melbourne', 'LOCATION')]"
"Valencia News - English International news from Valencia, Spain","[('Valencia News', 'ORGANIZATION'), ('English', 'OTHER'), ('Valencia, Spain', 'LOCATION')]"
Creative Advisors for Your Bright Ideas,[]
Reliable and consistent Forex signals by professional traders at your fingertips. Access a growing community of profitable traders and take your trading to the next level.,[]
"C2 Enterprise is a software provider specialized in offering complete IT Service Management, service desk and helpdesk business solutions, based on ITIL®. C2 ATOM software is made to improve IT support and service centers teams efficiency.","[('C2 Enterprise', 'ORGANIZATION'), ('ITIL®', 'TITLE'), ('C2 ATOM', 'TITLE')]"
Lamont is the solution to your Supplier Selection - Finance - CRM - Payroll & HR - Cloud Solutions - IT Project Management and so much more.,"[('Lamont', 'TITLE')]"
"New Media Consulting provides complete multimedia consulting, development and marketing services.","[('New Media Consulting', 'ORGANIZATION')]"
"Best Orca whale watching in the San Juan Islands and Puget Sound off the coast of Washington State, near Seattle. Guaranteed to see a whale on all tours!","[('San Juan Islands', 'LOCATION'), ('Puget Sound', 'LOCATION'), ('Washington State', 'LOCATION'), ('Seattle', 'LOCATION')]"
Blupool is a swimming pool construction and maintenance company in Durban North with over 21 years experience. Excellent workmanship and service,"[('Blupool', 'ORGANIZATION'), ('Durban North', 'LOCATION'), ('over 21 years', 'QUANTITY')]"
"It's time for men to take control of their faces. Lumin simplifies the daily routines for guys to combat dark eye circles, acne scarring, dry skin, lines and wrinkles, clogged pores caused by oily skin, and more. Invest in your face the way you do in other aspects of life, and EARN your best look ever.",[]
Financial Advisors Lmited,[]
